,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_degree,param_kernel,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1,9.208355784416199,0.10057930353573649,1.3428956270217896,0.003875687287300256,1,balanced,3,poly,1234,"{'C': 1, 'class_weight': 'balanced', 'degree': 3, 'kernel': 'poly', 'random_state': 1234}",0.6848921964907362,0.6823526753017706,0.6875014762065035,0.6797624636115096,0.68362720290263,0.0028797062699491924,1
2,12.322441518306732,0.11403535838449286,1.5309144258499146,0.0016436088992667973,1,balanced,5,poly,1234,"{'C': 1, 'class_weight': 'balanced', 'degree': 5, 'kernel': 'poly', 'random_state': 1234}",0.6637301656117229,0.6509339527092469,0.6757848251876258,0.6683316430768866,0.6646951466463706,0.009034748521816918,2
4,13.436836779117584,0.1372527647262689,1.1840897798538208,0.00447030343827885,5,balanced,3,poly,1234,"{'C': 5, 'class_weight': 'balanced', 'degree': 3, 'kernel': 'poly', 'random_state': 1234}",0.6588803452073697,0.6553443310684788,0.6682956605433621,0.6654091232514334,0.6619823650176611,0.005130457923068364,3
7,21.069928109645844,1.0654114718135526,1.119118094444275,0.005226825285749644,10,balanced,3,poly,1234,"{'C': 10, 'class_weight': 'balanced', 'degree': 3, 'kernel': 'poly', 'random_state': 1234}",0.6509904049618948,0.6503659249775391,0.6661896674401988,0.6576595926851015,0.6563013975161835,0.006384728897450746,4
5,17.87979155778885,0.21106246221265232,1.3427842259407043,0.0018313670448816199,5,balanced,5,poly,1234,"{'C': 5, 'class_weight': 'balanced', 'degree': 5, 'kernel': 'poly', 'random_state': 1234}",0.6464357597347851,0.6371584039140229,0.6485587795905594,0.6419363326897073,0.6435223189822686,0.0043837438335664015,5
3,13.695901155471802,0.06202192818756074,1.6116765141487122,0.003302694433562701,5,balanced,2,poly,1234,"{'C': 5, 'class_weight': 'balanced', 'degree': 2, 'kernel': 'poly', 'random_state': 1234}",0.6332309136963128,0.6339464367743994,0.6368273665066458,0.6366932162406335,0.6351744833044979,0.0016065595003915572,6
0,10.165095329284668,0.11259670951496366,1.5977561473846436,0.004759639329054185,1,balanced,2,poly,1234,"{'C': 1, 'class_weight': 'balanced', 'degree': 2, 'kernel': 'poly', 'random_state': 1234}",0.6310520596770415,0.6323996266034009,0.6377093998925322,0.6382076195874888,0.6348421764401159,0.003157459924007733,7
6,18.969176650047302,0.486765519315902,1.5692285895347595,0.02735355059685716,10,balanced,2,poly,1234,"{'C': 10, 'class_weight': 'balanced', 'degree': 2, 'kernel': 'poly', 'random_state': 1234}",0.6343545164569386,0.6351098881839532,0.6337961609773668,0.6340808843067439,0.6343353624812507,0.0004888134465270003,8
8,22.24648278951645,0.22250374131600031,1.2749931812286377,0.005677040185918776,10,balanced,5,poly,1234,"{'C': 10, 'class_weight': 'balanced', 'degree': 5, 'kernel': 'poly', 'random_state': 1234}",0.6358393398407161,0.6279095509463132,0.639747487496531,0.6272971618453762,0.6326983850322341,0.005283502306184123,9
