,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1,139.40185517072678,1.17825105913762,2.368300497531891,0.009373319424901378,5,linear,1234,"{'C': 5, 'kernel': 'linear', 'random_state': 1234}",0.7501320655044902,0.7466103187180841,0.7474462839027827,0.7430433251144769,0.7468079983099585,0.0025332130142168207,1
2,249.17941999435425,1.1925952786818703,2.3680131435394287,0.020875943653271327,10,linear,1234,"{'C': 10, 'kernel': 'linear', 'random_state': 1234}",0.7499559781651699,0.7464342313787639,0.7472701655512505,0.7430433251144769,0.7466759250524152,0.0024680998933359743,2
0,47.8812620639801,2.1514719071343453,2.4677175879478455,0.1766933627833698,1,linear,1234,"{'C': 1, 'kernel': 'linear', 'random_state': 1234}",0.7496038034865293,0.7464342313787639,0.7474462839027827,0.7430433251144769,0.7466319109706382,0.0023670854476921504,3
